PLAYER,TEAM,AGE,G,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PTS,DD2,TD3
A'ja Wilson,LVA,25,32,1021,207,466,1,1,169,193,63,235,298,98,28,40,46,584,17,0
Aaliyah Wilson,IND,23,14,119,6,26,1,7,2,4,5,7,12,8,3,2,9,15,0,0
Aari McDonald,ATL,23,30,493,56,174,32,104,45,51,9,40,49,59,25,5,35,189,0,0
Aerial Powers,MIN,28,14,309,61,143,11,35,55,60,13,38,51,29,5,5,41,188,0,0
Alanna Smith,PHO,25,18,117,8,34,4,21,1,4,5,19,24,10,7,6,6,21,0,0
Allie Quigley,CHI,36,26,635,121,270,54,119,47,49,17,52,69,60,13,7,30,343,0,0
Allisha Gray,DAL,27,25,694,106,242,30,82,56,65,33,97,130,42,25,21,34,298,3,0
Alyssa Thomas,CON,30,2,35,4,15,0,0,3,4,1,9,10,4,1,0,3,11,0,0
Amanda Zahui B,LAS,28,30,714,106,248,30,107,33,43,24,130,154,29,19,35,54,275,2,0
Angel McCoughtry,LVA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arella Guirantes,LAS,24,25,291,26,95,6,27,21,26,6,27,33,15,8,4,12,79,0,0
Ariel Atkins,WAS,25,30,918,161,396,66,184,98,118,34,49,83,79,48,16,61,486,0,0
Arike Ogunbowale,DAL,25,32,1003,199,520,80,213,121,140,23,80,103,104,37,0,68,599,0,0
Astou Ndour-Fall,CHI,27,20,342,46,116,8,34,32,34,32,63,95,8,7,16,17,132,1,0
Awak Kuier,DAL,20,16,142,12,39,3,18,11,14,9,30,39,9,5,12,16,38,0,0
Azurá Stevens,CHI,26,30,587,90,180,15,45,26,32,49,88,137,23,24,21,28,221,1,0
Beatrice Mompremier,CON,25,32,275,26,53,0,0,5,12,28,49,77,7,12,8,18,57,0,0
Bella Alarie,DAL,24,31,407,32,64,0,2,17,20,42,60,102,16,18,20,18,81,0,0
Bernadett Hatar,IND,27,7,106,14,29,0,0,6,7,7,11,18,2,3,3,11,34,0,0
Betnijah Laney,NYL,28,32,1079,203,450,34,109,96,122,27,105,132,167,21,3,119,536,3,0
Blake Dietrick,ATL,28,9,141,8,27,5,16,0,0,3,11,14,11,5,1,5,21,0,0
Breanna Stewart,SEA,27,28,934,194,442,48,144,133,157,34,233,267,76,33,49,47,569,13,0
